[ 2026-03-31 21:58:41,633 ] 22 root - INFO - Initiate the data ingestion
[ 2026-03-31 21:58:44,606 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-31 21:58:44,606 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-31 21:58:44,626 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-31 21:58:44,714 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-31 21:58:44,715 ] 25 root - INFO - Data Initiation Completed
[ 2026-03-31 21:58:44,732 ] 30 root - INFO - Initiate the data Validation
[ 2026-03-31 21:58:44,852 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 21:58:44,852 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 21:58:44,853 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 21:58:44,853 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 21:58:45,164 ] 32 root - INFO - data Validation Completed
[ 2026-03-31 21:58:45,167 ] 37 root - INFO - data Transformation started
[ 2026-03-31 21:58:45,167 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-31 21:58:45,167 ] 65 root - INFO - Starting data transformation
[ 2026-03-31 21:58:45,207 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-31 21:58:45,207 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-31 21:58:45,231 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 21:58:45,235 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 21:58:45,235 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 21:58:45,238 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 21:58:45,241 ] 42 root - INFO - data Transformation completed
[ 2026-03-31 21:58:45,242 ] 44 root - INFO - Model Training sstared
