[ 2026-03-31 20:05:06,193 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-31 20:05:09,096 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-31 20:05:09,096 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-31 20:05:09,097 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-31 20:05:09,183 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-31 20:05:09,184 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-31 20:05:09,219 ] 28 root - INFO - Initiate the data Validation
[ 2026-03-31 20:05:09,330 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 20:05:09,330 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 20:05:09,332 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 20:05:09,332 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 20:05:09,609 ] 30 root - INFO - data Validation Completed
[ 2026-03-31 20:05:09,609 ] 35 root - INFO - data Transformation started
[ 2026-03-31 20:05:09,609 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-31 20:05:09,609 ] 65 root - INFO - Starting data transformation
[ 2026-03-31 20:05:09,656 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-31 20:05:09,656 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-31 20:05:09,674 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 20:05:09,688 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 20:05:09,689 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 20:05:09,691 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 20:05:09,693 ] 40 root - INFO - data Transformation completed
[ 2026-03-31 20:05:09,693 ] 42 root - INFO - Model Training sstared
