[ 2026-03-31 20:20:03,831 ] 22 root - INFO - Initiate the data ingestion
[ 2026-03-31 20:20:08,081 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-31 20:20:08,081 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-31 20:20:08,081 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-31 20:20:08,161 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-31 20:20:08,161 ] 25 root - INFO - Data Initiation Completed
[ 2026-03-31 20:20:08,189 ] 30 root - INFO - Initiate the data Validation
[ 2026-03-31 20:20:08,316 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 20:20:08,316 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 20:20:08,316 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 20:20:08,316 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 20:20:08,562 ] 32 root - INFO - data Validation Completed
[ 2026-03-31 20:20:08,562 ] 37 root - INFO - data Transformation started
[ 2026-03-31 20:20:08,562 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-31 20:20:08,562 ] 65 root - INFO - Starting data transformation
[ 2026-03-31 20:20:08,589 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-31 20:20:08,589 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-31 20:20:08,604 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 20:20:08,626 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 20:20:08,626 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 20:20:08,630 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 20:20:08,632 ] 42 root - INFO - data Transformation completed
[ 2026-03-31 20:20:08,632 ] 44 root - INFO - Model Training sstared
