[ 2026-03-31 21:40:04,403 ] 22 root - INFO - Initiate the data ingestion
[ 2026-03-31 21:40:07,830 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-31 21:40:07,830 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-31 21:40:07,830 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-31 21:40:07,941 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-31 21:40:07,941 ] 25 root - INFO - Data Initiation Completed
[ 2026-03-31 21:40:07,965 ] 30 root - INFO - Initiate the data Validation
[ 2026-03-31 21:40:08,070 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 21:40:08,070 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 21:40:08,086 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 21:40:08,086 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 21:40:08,800 ] 32 root - INFO - data Validation Completed
[ 2026-03-31 21:40:08,800 ] 37 root - INFO - data Transformation started
[ 2026-03-31 21:40:08,800 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-31 21:40:08,800 ] 65 root - INFO - Starting data transformation
[ 2026-03-31 21:40:08,839 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-31 21:40:08,839 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-31 21:40:08,889 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 21:40:08,889 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 21:40:08,889 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 21:40:08,905 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 21:40:08,905 ] 42 root - INFO - data Transformation completed
[ 2026-03-31 21:40:08,905 ] 44 root - INFO - Model Training sstared
