[ 2026-03-31 22:15:57,370 ] 22 root - INFO - Initiate the data ingestion
[ 2026-03-31 22:16:00,310 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-31 22:16:00,310 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-31 22:16:00,336 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-31 22:16:00,450 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-31 22:16:00,451 ] 25 root - INFO - Data Initiation Completed
[ 2026-03-31 22:16:00,491 ] 30 root - INFO - Initiate the data Validation
[ 2026-03-31 22:16:00,624 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 22:16:00,624 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 22:16:00,625 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 22:16:00,625 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 22:16:01,286 ] 32 root - INFO - data Validation Completed
[ 2026-03-31 22:16:01,286 ] 37 root - INFO - data Transformation started
[ 2026-03-31 22:16:01,286 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-31 22:16:01,287 ] 65 root - INFO - Starting data transformation
[ 2026-03-31 22:16:01,331 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-31 22:16:01,331 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-31 22:16:01,376 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 22:16:01,381 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 22:16:01,382 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 22:16:01,388 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 22:16:01,390 ] 42 root - INFO - data Transformation completed
[ 2026-03-31 22:16:01,390 ] 44 root - INFO - Model Training sstared
