[ 2026-03-31 13:39:31,777 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-31 13:39:34,891 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-31 13:39:34,892 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-31 13:39:34,892 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-31 13:39:35,014 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-31 13:39:35,015 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-31 13:39:35,049 ] 28 root - INFO - Initiate the data Validation
[ 2026-03-31 13:39:35,166 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 13:39:35,166 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 13:39:35,167 ] 32 root - INFO - Required number of columns:2
[ 2026-03-31 13:39:35,167 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-31 13:39:35,412 ] 30 root - INFO - data Validation Completed
[ 2026-03-31 13:39:35,413 ] 35 root - INFO - data Transformation started
[ 2026-03-31 13:39:35,413 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-31 13:39:35,413 ] 65 root - INFO - Starting data transformation
[ 2026-03-31 13:39:35,454 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-31 13:39:35,454 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-31 13:39:35,544 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 13:39:35,577 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 13:39:35,578 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-31 13:39:35,581 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-31 13:39:35,583 ] 40 root - INFO - data Transformation completed
