[ 2026-03-30 23:36:08,514 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-30 23:36:10,927 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-03-30 23:36:10,936 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-30 23:36:10,936 ] 75 root - INFO - Exporting train and test file path.
[ 2026-03-30 23:36:11,021 ] 84 root - INFO - Exported train and test file path.
[ 2026-03-30 23:36:11,021 ] 23 root - INFO - Data Initiation Completed
[ 2026-03-30 23:36:11,038 ] 28 root - INFO - Initiate the data Validation
[ 2026-03-30 23:36:11,177 ] 32 root - INFO - Required number of columns:2
[ 2026-03-30 23:36:11,177 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-30 23:36:11,178 ] 32 root - INFO - Required number of columns:2
[ 2026-03-30 23:36:11,178 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-30 23:36:11,384 ] 30 root - INFO - data Validation Completed
